===> item
1 BA3FLPR08
2 BA3FLPR09
3 BA3FLPR10
4 BA3FLPR04
5 BA3FLPR11
6 BA3FLPR12
7 BA3FLPR07
8 BA3MRU15625
9 BA3MRU15225E
10 BA3MRK15624
11 BA3MRU15227E
12 BA3MRK17093A
13 BA3MRK17095A
14 BA3MVK17101A
15 BA3MRU15728
16 BA3MGA15114A
17 BA3MGA15111A
18 BA3MVU15116A
19 BA3MGK11117
20 BA3MGU11120
21 BA3MRU17053A
22 BA3MRA17058A
23 BA3ORU17060A
24 BA3MGK17061A
25 BA3MRK17103A
26 BA3MRU17106A
27 BA3ORA17107A
28 BA3MVU17112A
29 BA3MRK17063A
30 BA3MRU17065A
31 BA3MRK17064A
32 BA3MRU17066A
33 BA3ORa17068A
34 BA3MVK17071A
35 BA3MRK17069A
