===> item
1 BA3FLPR01
2 BA3FLPR08
3 BA3FLPR04
4 BA3FLPR06
5 BA3MRK17043A
6 BA3MRU17049A
7 BA3MRK17044A
8 BA3MRU17046A
9 BA3ORA17048A
10 BA3MVK17051A
11 BA3MGA15114A
12 BA3MRU15628
13 BA5MRK1717A
14 BA5MRU1713A
15 BA5MRU1718A
16 BA5MRU1719A
17 BA5ORA1715A
18 BA5SRA1720A
19 BA5MRU1733A
20 BA5MRK1734A
21 BA5MRK1737A
22 BA5MRA1739A
23 BA5ORA1735A
24 BA5MVK1731A
25 BA5MRK15091A
26 BA5MRU15093A
27 BA5MRU15007A
28 BA5ORH15094A
29 BA5MRU15097A
30 BA5MRK15096A
31 BA5MRK15050A
32 BA5SRH15098A
33 BA5MGA15103A
34 BA5SRA15057A
35 BA5MRK1702A
36 BA5MRU1703A
37 BA5MRU1704A
38 BA5MRU1708A
39 BA5MGA1711A
40 BA5MVA1736A
